Mena Massoud	voiceActor	Aladdin (Live-Action)	Alan Menken	composer
Mena Massoud	voiceActor	Aladdin (Live-Action)	Howard Ashman	composer
Mena Massoud	voiceActor	Aladdin (Live-Action)	Benj Pasek	composer
Mena Massoud	voiceActor	Aladdin (Live-Action)	Justin Paul	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Gilbert Gottfried	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Liz Callaway	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Liz Callaway	voiceActor	Aladdin and the King of Thieves	Randy Peterson	composer
Liz Callaway	voiceActor	Aladdin and the King of Thieves	Kevin Quinn	composer
Liz Callaway	voiceActor	Aladdin and the King of Thieves	David Friedman	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Brad Kane	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Brad Kane	voiceActor	Aladdin and the King of Theives	Randy Petersen	composer
Brad Kane	voiceActor	Aladdin and the King of Theives	Kevin Quinn	composer
Brad Kane	voiceActor	Aladdin	Alan Menken	composer
Brad Kane	voiceActor	Aladdin	Tim Rice	composer
Brad Kane	voiceActor	Aladdin	Howard Ashman	composer
Brad Kane	voiceActor	Aladdin and the King of Thieves	Randy Peterson	composer
Brad Kane	voiceActor	Aladdin and the King of Thieves	Kevin Quinn	composer
Brad Kane	voiceActor	Aladdin and the King of Thieves	David Friedman	composer
Robin Williams	voiceActor	Aladdin and the King of Theives	Randy Petersen	composer
Robin Williams	voiceActor	Aladdin and the King of Theives	Kevin Quinn	composer
Robin Williams	voiceActor	Aladdin	Alan Menken	composer
Robin Williams	voiceActor	Aladdin	Tim Rice	composer
Robin Williams	voiceActor	Aladdin	Howard Ashman	composer
Merwin Foard	voiceActor	Aladdin and the King of Theives	Randy Petersen	composer
Merwin Foard	voiceActor	Aladdin and the King of Theives	Kevin Quinn	composer
Jerry Orbach	voiceActor	Aladdin and the King of Thieves	Randy Peterson	composer
Jerry Orbach	voiceActor	Aladdin and the King of Thieves	Kevin Quinn	composer
Jerry Orbach	voiceActor	Aladdin and the King of Thieves	David Friedman	composer
Naomi Scott	voiceActor	Aladdin (Live-Action)	Alan Menken	composer
Naomi Scott	voiceActor	Aladdin (Live-Action)	Howard Ashman	composer
Naomi Scott	voiceActor	Aladdin (Live-Action)	Benj Pasek	composer
Naomi Scott	voiceActor	Aladdin (Live-Action)	Justin Paul	composer
Lea Salonga	voiceActor	Aladdin	Alan Menken	composer
Lea Salonga	voiceActor	Aladdin	Tim Rice	composer
Lea Salonga	voiceActor	Aladdin	Howard Ashman	composer
Will Smith	voiceActor	Aladdin (Live-Action)	Alan Menken	composer
Will Smith	voiceActor	Aladdin (Live-Action)	Howard Ashman	composer
Will Smith	voiceActor	Aladdin (Live-Action)	Benj Pasek	composer
Will Smith	voiceActor	Aladdin (Live-Action)	Justin Paul	composer
Jonathan Freeman	voiceActor	Aladdin	Alan Menken	composer
Jonathan Freeman	voiceActor	Aladdin	Tim Rice	composer
Jonathan Freeman	voiceActor	Aladdin	Howard Ashman	composer
null	voiceActor	Aladdin and the King of Thieves	Randy Peterson	composer
null	voiceActor	Aladdin and the King of Thieves	Kevin Quinn	composer
null	voiceActor	Aladdin and the King of Thieves	David Friedman	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Brian Hannan	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Bruce Adler	voiceActor	Aladdin	Alan Menken	composer
Bruce Adler	voiceActor	Aladdin	Tim Rice	composer
Bruce Adler	voiceActor	Aladdin	Howard Ashman	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Dan Castellaneta	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Patty Silversher	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Michael Silversher	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Alan Menken	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Howard Ashman	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Randy Petersen	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Kevin Quinn	composer
Joanathan Freeman	voiceActor	Aladdin: The Return of Jafar	Dale Gonyea	composer