Mena Massoud	Aladdin (Live-Action)	Naomi Scott
Mena Massoud	Aladdin (Live-Action)	Will Smith
Gilbert Gottfried	Aladdin: The Return of Jafar	Liz Callaway
Gilbert Gottfried	Aladdin: The Return of Jafar	Brad Kane
Gilbert Gottfried	Aladdin: The Return of Jafar	Brian Hannan
Gilbert Gottfried	Aladdin: The Return of Jafar	Dan Castellaneta
Gilbert Gottfried	Aladdin: The Return of Jafar	Joanathan Freeman
Liz Callaway	Aladdin: The Return of Jafar	Gilbert Gottfried
Liz Callaway	Aladdin: The Return of Jafar	Brad Kane
Liz Callaway	Aladdin: The Return of Jafar	Brian Hannan
Liz Callaway	Aladdin: The Return of Jafar	Dan Castellaneta
Liz Callaway	Aladdin: The Return of Jafar	Joanathan Freeman
Liz Callaway	Aladdin and the King of Thieves	Jerry Orbach
Liz Callaway	Aladdin and the King of Thieves	Brad Kane
Liz Callaway	Aladdin and the King of Thieves	null
Brad Kane	Aladdin: The Return of Jafar	Gilbert Gottfried
Brad Kane	Aladdin: The Return of Jafar	Liz Callaway
Brad Kane	Aladdin: The Return of Jafar	Brian Hannan
Brad Kane	Aladdin: The Return of Jafar	Dan Castellaneta
Brad Kane	Aladdin: The Return of Jafar	Joanathan Freeman
Brad Kane	Aladdin and the King of Theives	Robin Williams
Brad Kane	Aladdin and the King of Theives	Merwin Foard
Brad Kane	Aladdin	Lea Salonga
Brad Kane	Aladdin	Jonathan Freeman
Brad Kane	Aladdin	Robin Williams
Brad Kane	Aladdin	Bruce Adler
Brad Kane	Aladdin and the King of Thieves	Jerry Orbach
Brad Kane	Aladdin and the King of Thieves	Liz Callaway
Brad Kane	Aladdin and the King of Thieves	null
Robin Williams	Aladdin and the King of Theives	Brad Kane
Robin Williams	Aladdin and the King of Theives	Merwin Foard
Robin Williams	Aladdin	Lea Salonga
Robin Williams	Aladdin	Brad Kane
Robin Williams	Aladdin	Jonathan Freeman
Robin Williams	Aladdin	Bruce Adler
Merwin Foard	Aladdin and the King of Theives	Robin Williams
Merwin Foard	Aladdin and the King of Theives	Brad Kane
Jerry Orbach	Aladdin and the King of Thieves	Brad Kane
Jerry Orbach	Aladdin and the King of Thieves	Liz Callaway
Jerry Orbach	Aladdin and the King of Thieves	null
Naomi Scott	Aladdin (Live-Action)	Mena Massoud
Naomi Scott	Aladdin (Live-Action)	Will Smith
Lea Salonga	Aladdin	Brad Kane
Lea Salonga	Aladdin	Jonathan Freeman
Lea Salonga	Aladdin	Robin Williams
Lea Salonga	Aladdin	Bruce Adler
Will Smith	Aladdin (Live-Action)	Mena Massoud
Will Smith	Aladdin (Live-Action)	Naomi Scott
Jonathan Freeman	Aladdin	Lea Salonga
Jonathan Freeman	Aladdin	Brad Kane
Jonathan Freeman	Aladdin	Robin Williams
Jonathan Freeman	Aladdin	Bruce Adler
null	Aladdin and the King of Thieves	Jerry Orbach
null	Aladdin and the King of Thieves	Brad Kane
null	Aladdin and the King of Thieves	Liz Callaway
Brian Hannan	Aladdin: The Return of Jafar	Gilbert Gottfried
Brian Hannan	Aladdin: The Return of Jafar	Liz Callaway
Brian Hannan	Aladdin: The Return of Jafar	Brad Kane
Brian Hannan	Aladdin: The Return of Jafar	Dan Castellaneta
Brian Hannan	Aladdin: The Return of Jafar	Joanathan Freeman
Bruce Adler	Aladdin	Lea Salonga
Bruce Adler	Aladdin	Brad Kane
Bruce Adler	Aladdin	Jonathan Freeman
Bruce Adler	Aladdin	Robin Williams
Dan Castellaneta	Aladdin: The Return of Jafar	Gilbert Gottfried
Dan Castellaneta	Aladdin: The Return of Jafar	Liz Callaway
Dan Castellaneta	Aladdin: The Return of Jafar	Brad Kane
Dan Castellaneta	Aladdin: The Return of Jafar	Brian Hannan
Dan Castellaneta	Aladdin: The Return of Jafar	Joanathan Freeman
Joanathan Freeman	Aladdin: The Return of Jafar	Gilbert Gottfried
Joanathan Freeman	Aladdin: The Return of Jafar	Liz Callaway
Joanathan Freeman	Aladdin: The Return of Jafar	Brad Kane
Joanathan Freeman	Aladdin: The Return of Jafar	Brian Hannan
Joanathan Freeman	Aladdin: The Return of Jafar	Dan Castellaneta